epoch,learning_rate,train_total,train_data,train_physics,train_gradient,validation_total,validation_data,validation_physics,validation_gradient
1.0,0.0029871672920607157,0.02110958341654623,0.010186528561462183,0.05433344918128569,0.0011272872325207572,0.001193910909933038,0.001018130460579414,0.0007119012783126285,0.0006680033766315319
2.0,0.0029488887394336022,0.0009765900613274425,0.0008802264565019868,0.0003571380848370609,0.0004987198317394359,0.0008366843200443933,0.0007791305688442662,0.00014503854921107026,0.0005709205700744254
3.0,0.00288581929876693,0.0007050394306133967,0.0006623859699175227,0.00010353859784117958,0.0004389149271446513,0.0007398525970832756,0.0006997468080953695,6.490896006046872e-05,0.0005424798097616682
4.0,0.002799038105676658,0.0006322265071503352,0.0006021631743351463,4.55730696558021e-05,0.0004189745923213195,0.0006924786575837061,0.0006589450446578363,3.479028570533652e-05,0.0005315112308987106
5.0,0.0026900300104368527,0.000597535432461882,0.0005704920840798877,3.2579254138909164e-05,0.00041054997745959554,0.0006716273637721315,0.0006386987903776268,3.2587618534307694e-05,0.0005282208439894021
6.0,0.0025606601717798215,0.0005752199922426371,0.0005495264376804698,2.7388269927541842e-05,0.0004043179433210753,0.000657514865451958,0.0006259396492775219,2.7153071262849455e-05,0.0005228920587493727
7.0,0.0024131421435130813,0.0005533183430088684,0.0005291108336678008,2.2453122028309735e-05,0.0003943377705581952,0.0006449636008862095,0.0006142349520814605,2.4484327695972752e-05,0.000516635659247792
8.0,0.0022500000000000003,0.0005381710452638799,0.0005145275117683923,2.137544834113214e-05,0.0003873688565363409,0.0006345144987183934,0.0006040951969528882,2.413869204550186e-05,0.0005118312474223785
9.0,0.002074025148547635,0.0005217972811806249,0.0004987257107131882,2.0215155018377118e-05,0.0003805708274740027,0.0006218105409061536,0.0005923089556745254,2.09113889013679e-05,0.000506385800690623
10.0,0.0018882285676537812,0.0005076434736110969,0.00048509546468267217,1.9276666648693208e-05,0.00037385365430964157,0.0006145102888694964,0.000585159495434103,2.1185084278840804e-05,0.0005022755334114967
11.0,0.0016957892883300778,0.0004944359261571663,0.000472388001071522,1.838097773543268e-05,0.0003674345698527759,0.000604965869570151,0.0005759526441882675,2.06888148568396e-05,0.0004975095847233509
12.0,0.0015,0.0004802575313078705,0.0004585485530697042,1.8435479205436422e-05,0.00036043772706761956,0.0005954451068343284,0.0005666952614168016,2.0575112557708053e-05,0.0004926966794300824
13.0,0.0013042107116699227,0.0004672118320740992,0.0004457486102182884,1.8955844041101955e-05,0.0003534411134751281,0.0005857766130551075,0.0005570526263909414,2.1788505743340163e-05,0.0004873259883121743
14.0,0.001111771432346219,0.0004538716548267985,0.0004326512571424246,1.9373617021756218e-05,0.0003469133862381568,0.000576585611270275,0.0005481124123131546,2.1516582592084887e-05,0.00048339729255530983
15.0,0.0009259748514523657,0.000440657306171488,0.00041955225242418237,2.0320748717495007e-05,0.0003408180846236064,0.0005690181375636408,0.0005403840356545212,2.330507504666457e-05,0.00047946154033221927
16.0,0.0007500000000000003,0.0004300585187593242,0.00040912931581260636,2.0967160594409506e-05,0.0003347153415234061,0.0005604188578824202,0.000532139019924216,2.2755529622979036e-05,0.00047457480953501846
17.0,0.000586857856486919,0.0004203117532597389,0.00039949314123077784,2.1630235323755187e-05,0.00032985130928864237,0.0005537165343412198,0.0005253753261058591,2.3883077498491428e-05,0.0004712925110652577
18.0,0.00043933982822017887,0.0004116716554563027,0.00039107600787247065,2.1625780618705903e-05,0.00032540978918405017,0.000547481564960132,0.0005193036849959753,2.3970410059822218e-05,0.00046767599997110665
19.0,0.00030996998956314746,0.000405598004363128,0.00038507721183123067,2.2111592443252448e-05,0.0003219695927327848,0.0005422991574353849,0.0005142691152286716,2.398065445656054e-05,0.00046467814293767634
20.0,0.00020096189432334196,0.00039978756285563577,0.0003794015647144988,2.2251345399126876e-05,0.00031871459032117855,0.0005400565205491148,0.0005120159306291802,2.4348731585632777e-05,0.0004634168750878113
21.0,0.0001141807012330699,0.0003961949169024592,0.00037588189479720313,2.236739351246797e-05,0.0003167908616887871,0.0005377575192445269,0.0005097485554870218,2.454227804567684e-05,0.000462009696396611
22.0,5.11112605663977e-05,0.00039351922532659955,0.0003732803143066121,2.2363465404851013e-05,0.00031532445245829877,0.0005363674038865914,0.0005084139290071713,2.4478371642544516e-05,0.0004611562920520858
23.0,1.2832707939284426e-05,0.000392132544220658,0.00037192341369518545,2.24006051894321e-05,0.00031458015655516647,0.0005356242400011979,0.0005076688576082233,2.4597501048143993e-05,0.00046071791196785245
24.0,0.0,0.0003914355256711133,0.00037124625760043273,2.2402243189389992e-05,0.00031417642276210245,0.0005354903866342889,0.0005075384130274566,2.4601912173238816e-05,0.000460632107812368
